;;;;;;;;;;;;x,,,,,,,,,,,,,;;;;;;;;;
return_cores_SWE_title;Вернуть провинции Sweden;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SWE_desc;Мы владеем провинциями, на которые  Sweden имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BEL_title;Вернуть провинции Belgium;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BEL_desc;Мы владеем провинциями, на которые  Belgium имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CAT_title;Вернуть провинции Catalonia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CAT_desc;Мы владеем провинциями, на которые  Catalonia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_FLA_title;Вернуть провинции Flanders;;;;;;;;;;;;;;;;;;;;x,,
return_cores_FLA_desc;Мы владеем провинциями, на которые  Flanders имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_IRE_title;Вернуть провинции Ireland;;;;;;;;;;;;;;;;;;;;x,,
return_cores_IRE_desc;Мы владеем провинциями, на которые  Ireland имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NET_title;Вернуть провинции Netherlands;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NET_desc;Мы владеем провинциями, на которые  Netherlands имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_POR_title;Вернуть провинции Portugal;;;;;;;;;;;;;;;;;;;;x,,
return_cores_POR_desc;Мы владеем провинциями, на которые  Portugal имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SCO_title;Вернуть провинции Scotland;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SCO_desc;Мы владеем провинциями, на которые  Scotland имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SPA_title;Вернуть провинции Spain;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SPA_desc;Мы владеем провинциями, на которые  Spain имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_WLL_title;Вернуть провинции Wallonia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_WLL_desc;Мы владеем провинциями, на которые  Wallonia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ANH_title;Вернуть провинции Anhalt;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ANH_desc;Мы владеем провинциями, на которые  Anhalt имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BAD_title;Вернуть провинции Baden;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BAD_desc;Мы владеем провинциями, на которые  Baden имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BAV_title;Вернуть провинции Bavaria;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BAV_desc;Мы владеем провинциями, на которые  Bavaria имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BRA_title;Вернуть провинции Braunschweig;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BRA_desc;Мы владеем провинциями, на которые  Braunschweig имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BRE_title;Вернуть провинции Bremen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BRE_desc;Мы владеем провинциями, на которые  Bremen имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_COB_title;Вернуть провинции Saxe-Coburg-Gotha;;;;;;;;;;;;;;;;;;;;x,,
return_cores_COB_desc;Мы владеем провинциями, на которые  Saxe-Coburg-Gotha имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DZG_title;Вернуть провинции Danzig;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DZG_desc;Мы владеем провинциями, на которые  Danzig имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_FRM_title;Вернуть провинции Frankfurt am Main;;;;;;;;;;;;;;;;;;;;x,,
return_cores_FRM_desc;Мы владеем провинциями, на которые  Frankfurt am Main имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HAM_title;Вернуть провинции Hamburg;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HAM_desc;Мы владеем провинциями, на которые  Hamburg имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HAN_title;Вернуть провинции Hanover;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HAN_desc;Мы владеем провинциями, на которые  Hanover имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HES_title;Вернуть провинции Hesse-Darmstadt;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HES_desc;Мы владеем провинциями, на которые  Hesse-Darmstadt имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HEK_title;Вернуть провинции Hesse-Kassel;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HEK_desc;Мы владеем провинциями, на которые  Hesse-Kassel имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HOL_title;Вернуть провинции Holstein;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HOL_desc;Мы владеем провинциями, на которые  Holstein имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LIP_title;Вернуть провинции Lippe-Detmold;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LIP_desc;Мы владеем провинциями, на которые  Lippe-Detmold имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LUB_title;Вернуть провинции Lubeck;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LUB_desc;Мы владеем провинциями, на которые  Lubeck имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LUX_title;Вернуть провинции Luxemburg;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LUX_desc;Мы владеем провинциями, на которые  Luxemburg имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MEC_title;Вернуть провинции Mecklenburg;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MEC_desc;Мы владеем провинциями, на которые  Mecklenburg имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MEI_title;Вернуть провинции Saxe-Meiningen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MEI_desc;Мы владеем провинциями, на которые  Saxe-Meiningen имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NAS_title;Вернуть провинции Nassau;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NAS_desc;Мы владеем провинциями, на которые  Nassau имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NGF_title;Вернуть провинции North German Fed;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NGF_desc;Мы владеем провинциями, на которые  North German Fed имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_OLD_title;Вернуть провинции Oldenburg;;;;;;;;;;;;;;;;;;;;x,,
return_cores_OLD_desc;Мы владеем провинциями, на которые  Oldenburg имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SAX_title;Вернуть провинции Saxony;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SAX_desc;Мы владеем провинциями, на которые  Saxony имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SCH_title;Вернуть провинции Schleswig;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SCH_desc;Мы владеем провинциями, на которые  Schleswig имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SGF_title;Вернуть провинции South German Fed;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SGF_desc;Мы владеем провинциями, на которые  South German Fed имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_WEI_title;Вернуть провинции Saxe-Weimar;;;;;;;;;;;;;;;;;;;;x,,
return_cores_WEI_desc;Мы владеем провинциями, на которые  Saxe-Weimar имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_WUR_title;Вернуть провинции Wurttemberg;;;;;;;;;;;;;;;;;;;;x,,
return_cores_WUR_desc;Мы владеем провинциями, на которые  Wurttemberg имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LOM_title;Вернуть провинции Lombardia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LOM_desc;Мы владеем провинциями, на которые  Lombardia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LUC_title;Вернуть провинции Lucca;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LUC_desc;Мы владеем провинциями, на которые  Lucca имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MOD_title;Вернуть провинции Modena;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MOD_desc;Мы владеем провинциями, на которые  Modena имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PAP_title;Вернуть провинции Papal States;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PAP_desc;Мы владеем провинциями, на которые  Papal States имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PAR_title;Вернуть провинции Parma;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PAR_desc;Мы владеем провинциями, на которые  Parma имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SAR_title;Вернуть провинции Sardinia-Piedmont;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SAR_desc;Мы владеем провинциями, на которые  Sardinia-Piedmont имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SIC_title;Вернуть провинции Two Sicilies;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SIC_desc;Мы владеем провинциями, на которые  Two Sicilies имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TRE_title;Вернуть провинции Trieste;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TRE_desc;Мы владеем провинциями, на которые  Trieste имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TUS_title;Вернуть провинции Tuscany;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TUS_desc;Мы владеем провинциями, на которые  Tuscany имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_VEN_title;Вернуть провинции Venice;;;;;;;;;;;;;;;;;;;;x,,
return_cores_VEN_desc;Мы владеем провинциями, на которые  Venice имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BOH_title;Вернуть провинции Bohemia-Moravia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BOH_desc;Мы владеем провинциями, на которые  Bohemia-Moravia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KRA_title;Вернуть провинции Krakow;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KRA_desc;Мы владеем провинциями, на которые  Krakow имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CRI_title;Вернуть провинции Crimea;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CRI_desc;Мы владеем провинциями, на которые  Crimea имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_EST_title;Вернуть провинции Estonia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_EST_desc;Мы владеем провинциями, на которые  Estonia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HUN_title;Вернуть провинции Hungary;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HUN_desc;Мы владеем провинциями, на которые  Hungary имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LIT_title;Вернуть провинции Lithuania;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LIT_desc;Мы владеем провинциями, на которые  Lithuania имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LAT_title;Вернуть провинции Latvia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LAT_desc;Мы владеем провинциями, на которые  Latvia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_POL_title;Вернуть провинции Poland;;;;;;;;;;;;;;;;;;;;x,,
return_cores_POL_desc;Мы владеем провинциями, на которые  Poland имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SLV_title;Вернуть провинции Slovakia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SLV_desc;Мы владеем провинциями, на которые  Slovakia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SWI_title;Вернуть провинции Switzerland;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SWI_desc;Мы владеем провинциями, на которые  Switzerland имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_RUT_title;Вернуть провинции Ruthenia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_RUT_desc;Мы владеем провинциями, на которые  Ruthenia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SIE_title;Вернуть провинции Siebenburgen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SIE_desc;Мы владеем провинциями, на которые  Siebenburgen имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_UKR_title;Вернуть провинции Ukraine;;;;;;;;;;;;;;;;;;;;x,,
return_cores_UKR_desc;Мы владеем провинциями, на которые  Ukraine имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CZH_title;Вернуть провинции Czechoslovakia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CZH_desc;Мы владеем провинциями, на которые  Czechoslovakia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ALB_title;Вернуть провинции Albania;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALB_desc;Мы владеем провинциями, на которые  Albania имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BOS_title;Вернуть провинции Bosnia-Herzegovina;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BOS_desc;Мы владеем провинциями, на которые  Bosnia-Herzegovina имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BUL_title;Вернуть провинции Bulgaria;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BUL_desc;Мы владеем провинциями, на которые  Bulgaria имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CRE_title;Вернуть провинции Crete;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CRE_desc;Мы владеем провинциями, на которые  Crete имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CRO_title;Вернуть провинции Croatia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CRO_desc;Мы владеем провинциями, на которые  Croatia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CYP_title;Вернуть провинции Cyprus;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CYP_desc;Мы владеем провинциями, на которые  Cyprus имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GRE_title;Вернуть провинции Greece;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GRE_desc;Мы владеем провинциями, на которые  Greece имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ION_title;Вернуть провинции Ionian Islands;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ION_desc;Мы владеем провинциями, на которые  Ionian Islands имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MOL_title;Вернуть провинции Moldavia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MOL_desc;Мы владеем провинциями, на которые  Moldavia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MON_title;Вернуть провинции Montenegro;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MON_desc;Мы владеем провинциями, на которые  Montenegro имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ROM_title;Вернуть провинции Romania;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ROM_desc;Мы владеем провинциями, на которые  Romania имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SER_title;Вернуть провинции Serbia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SER_desc;Мы владеем провинциями, на которые  Serbia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SLO_title;Вернуть провинции Slovenia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SLO_desc;Мы владеем провинциями, на которые  Slovenia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TUR_title;Вернуть провинции Ottoman Empire;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TUR_desc;Мы владеем провинциями, на которые  Ottoman Empire имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_WAL_title;Вернуть провинции Wallachia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_WAL_desc;Мы владеем провинциями, на которые  Wallachia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_YUG_title;Вернуть провинции Yugoslavia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_YUG_desc;Мы владеем провинциями, на которые  Yugoslavia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ALD_title;Вернуть провинции Aldjazair;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALD_desc;Мы владеем провинциями, на которые  Aldjazair имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CNG_title;Вернуть провинции Congo Free State;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CNG_desc;Мы владеем провинциями, на которые  Congo Free State имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_EGY_title;Вернуть провинции Egypt;;;;;;;;;;;;;;;;;;;;x,,
return_cores_EGY_desc;Мы владеем провинциями, на которые  Egypt имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ETH_title;Вернуть провинции Ethiopia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ETH_desc;Мы владеем провинциями, на которые  Ethiopia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MAD_title;Вернуть провинции Madagascar;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MAD_desc;Мы владеем провинциями, на которые  Madagascar имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LIB_title;Вернуть провинции Liberia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LIB_desc;Мы владеем провинциями, на которые  Liberia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MOR_title;Вернуть провинции Morocco;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MOR_desc;Мы владеем провинциями, на которые  Morocco имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NAL_title;Вернуть провинции Natalia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NAL_desc;Мы владеем провинциями, на которые  Natalia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ORA_title;Вернуть провинции Oranje;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ORA_desc;Мы владеем провинциями, на которые  Oranje имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SAF_title;Вернуть провинции South Africa;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SAF_desc;Мы владеем провинциями, на которые  South Africa имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SOK_title;Вернуть провинции Sokoto;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SOK_desc;Мы владеем провинциями, на которые  Sokoto имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_RHO_title;Вернуть провинции Southern Rhodesia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_RHO_desc;Мы владеем провинциями, на которые  Southern Rhodesia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TRI_title;Вернуть провинции Tripoli;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TRI_desc;Мы владеем провинциями, на которые  Tripoli имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TRN_title;Вернуть провинции Transvaal;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TRN_desc;Мы владеем провинциями, на которые  Transvaal имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TUN_title;Вернуть провинции Tunis;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TUN_desc;Мы владеем провинциями, на которые  Tunis имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ZAN_title;Вернуть провинции Zanzibar;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ZAN_desc;Мы владеем провинциями, на которые  Zanzibar имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ZUL_title;Вернуть провинции Zulu;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ZUL_desc;Мы владеем провинциями, на которые  Zulu имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ABU_title;Вернуть провинции Abu Dhabi;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ABU_desc;Мы владеем провинциями, на которые  Abu Dhabi имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_AFG_title;Вернуть провинции Afghanistan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AFG_desc;Мы владеем провинциями, на которые  Afghanistan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
